accuracy,attention,batch_size,bi_directional,classes,epochs,feature_dim,grad_clip,initializer_mode,is_training,keep_prob,learning_rate,log_dir,lstm_size,maxval,metrics_record_dir,metrics_record_file,minval,num_classes,num_layers,num_steps,record,rnn_mode,save_dir,save_every_n,section,stddev,test_data_dir,tmp_dir,train_data_dir
0.888888955116,False,50,False,"walk,bike,car,bus",50,8,5,truncated_normal_initializer,train,0.5,0.0003,log,128,0.5,metrics_record,record.csv,-0.5,4,1,300,True,lstm,save,200,DNN,0.1,./Data_Geolife/test,tmp,./Data_Geolife/train
0.876601803512,False,50,False,"walk,bike,car,bus",50,8,5,truncated_normal_initializer,test,0.5,0.001,log,128,0.5,metrics_record,record.csv,-0.5,4,1,300,True,lstm,save,200,DNN,0.1,./Data_Geolife/test,tmp,./Data_Geolife/train
1.0,False,50,False,"walk,bike,car,bus",50,8,5,truncated_normal_initializer,train,0.5,0.0005,log,128,0.5,metrics_record,record.csv,-0.5,4,1,300,True,lstm,save,200,DNN,0.1,./Data_Geolife/test,tmp,./Data_Geolife/train
0.87233032748,False,50,False,"walk,bike,car,bus",50,8,5,truncated_normal_initializer,test,0.5,0.001,log,128,0.5,metrics_record,record.csv,-0.5,4,1,300,True,lstm,save,200,DNN,0.1,./Data_Geolife/test,tmp,./Data_Geolife/train
1.0,False,50,False,"walk,bike,car,bus",50,8,5,truncated_normal_initializer,train,0.5,0.0007,log,128,0.5,metrics_record,record.csv,-0.5,4,1,300,True,lstm,save,200,DNN,0.1,./Data_Geolife/test,tmp,./Data_Geolife/train
0.879924062648,False,50,False,"walk,bike,car,bus",50,8,5,truncated_normal_initializer,test,0.5,0.001,log,128,0.5,metrics_record,record.csv,-0.5,4,1,300,True,lstm,save,200,DNN,0.1,./Data_Geolife/test,tmp,./Data_Geolife/train
0.933333396912,False,50,False,"walk,bike,car,bus",10,8,5,truncated_normal_initializer,train,0.5,0.0001,log,128,0.5,metrics_record,record.csv,-0.5,4,1,300,True,lstm,save,200,DNN,0.1,./Data_Geolife/test,tmp,./Data_Geolife/train
0.837921214998,False,50,False,"walk,bike,car,bus",50,8,5,truncated_normal_initializer,test,0.5,0.001,log,128,0.5,metrics_record,record.csv,-0.5,4,1,300,True,lstm,save,200,DNN,0.1,./Data_Geolife/test,tmp,./Data_Geolife/train
0.955555558205,False,50,False,"walk,bike,car,bus",10,8,5,truncated_normal_initializer,train,0.5,0.0003,log,128,0.5,metrics_record,record.csv,-0.5,4,1,300,True,lstm,save,200,DNN,0.1,./Data_Geolife/test,tmp,./Data_Geolife/train
0.856668248695,False,50,False,"walk,bike,car,bus",50,8,5,truncated_normal_initializer,test,0.5,0.001,log,128,0.5,metrics_record,record.csv,-0.5,4,1,300,True,lstm,save,200,DNN,0.1,./Data_Geolife/test,tmp,./Data_Geolife/train
0.888888955116,False,50,False,"walk,bike,car,bus",10,8,5,truncated_normal_initializer,train,0.5,0.0005,log,128,0.5,metrics_record,record.csv,-0.5,4,1,300,True,lstm,save,200,DNN,0.1,./Data_Geolife/test,tmp,./Data_Geolife/train
0.850023730422,False,50,False,"walk,bike,car,bus",50,8,5,truncated_normal_initializer,test,0.5,0.001,log,128,0.5,metrics_record,record.csv,-0.5,4,1,300,True,lstm,save,200,DNN,0.1,./Data_Geolife/test,tmp,./Data_Geolife/train
0.977777838707,False,50,False,"walk,bike,car,bus",10,8,5,truncated_normal_initializer,train,0.5,0.0007,log,128,0.5,metrics_record,record.csv,-0.5,4,1,300,True,lstm,save,200,DNN,0.1,./Data_Geolife/test,tmp,./Data_Geolife/train
0.857380161367,False,50,False,"walk,bike,car,bus",50,8,5,truncated_normal_initializer,test,0.5,0.001,log,128,0.5,metrics_record,record.csv,-0.5,4,1,300,True,lstm,save,200,DNN,0.1,./Data_Geolife/test,tmp,./Data_Geolife/train
